,time[ms],cpu_load,cpu_scaling_freq,cpu,sitename
34,3400,0.8181818181818182,1708.0,3,fc
35,3500,0.75,1708.0,3,fc
36,3600,0.8888888888888888,1708.0,3,fc
37,3700,0.7777777777777778,1708.0,3,fc
38,3800,0.8181818181818182,1708.0,3,fc
39,3900,0.8181818181818182,1708.0,3,fc
40,4000,,,3,fc
41,4100,,1708.0,3,fc
42,4200,0.3888888888888889,1708.0,3,fc
43,4300,0.8181818181818182,1708.0,3,fc
44,4400,0.8,1708.0,3,fc
45,4500,0.8181818181818182,1708.0,3,fc
46,4600,0.8888888888888888,1708.0,3,fc
47,4700,0.7,1708.0,3,fc
48,4800,0.8,1708.0,3,fc
49,4900,0.7777777777777778,1708.0,3,fc
50,5000,0.8333333333333334,1612.0,3,fc
51,5100,0.8181818181818182,1708.0,3,fc
52,5200,0.875,1708.0,3,fc
53,5300,0.9,1708.0,3,fc
54,5400,0.6,1708.0,3,fc
55,5500,0.75,1708.0,3,fc
56,5600,0.6666666666666666,1708.0,3,fc
57,5700,,,3,fc
58,5800,,1708.0,3,fc
59,5900,0.7692307692307693,1708.0,3,fc
60,6000,0.8333333333333334,1708.0,3,fc
61,6100,0.7777777777777778,1708.0,3,fc
62,6200,0.625,1708.0,3,fc
63,6300,0.8,1708.0,3,fc
64,6400,0.8,1708.0,3,fc
65,6500,0.8571428571428571,1708.0,3,fc
66,6600,0.8,1708.0,3,fc
67,6700,0.6363636363636364,1708.0,3,fc
68,6800,,,3,fc
69,6900,,1708.0,3,fc
70,7000,0.9,1708.0,3,fc
71,7100,0.6923076923076923,1708.0,3,fc
72,7200,0.7692307692307693,1708.0,3,fc
73,7300,,,3,fc
74,7400,,1708.0,3,fc
75,7500,0.5833333333333334,1708.0,3,fc
76,7600,0.7692307692307693,1708.0,3,fc
77,7700,0.8181818181818182,1708.0,3,fc
78,7800,0.9090909090909092,1708.0,3,fc
79,7900,0.6,1708.0,3,fc
80,8000,0.75,1708.0,3,fc
0,0,,1708.0,3,fc
1,100,0.8461538461538461,1708.0,3,fc
2,200,,,3,fc
3,300,,1612.0,3,fc
4,400,0.5555555555555556,1708.0,3,fc
5,500,0.9,1708.0,3,fc
6,600,0.875,1708.0,3,fc
7,700,0.8888888888888888,1708.0,3,fc
8,800,0.7857142857142857,1708.0,3,fc
9,900,0.9090909090909092,1708.0,3,fc
10,1000,0.8888888888888888,1708.0,3,fc
11,1100,0.8181818181818182,1708.0,3,fc
12,1200,0.7,1708.0,3,fc
13,1300,,,3,fc
14,1400,,1708.0,3,fc
15,1500,0.45,1708.0,3,fc
16,1600,0.8181818181818182,1708.0,3,fc
17,1700,0.7,1708.0,3,fc
18,1800,,,3,fc
19,1900,,1708.0,3,fc
20,2000,0.8181818181818182,1708.0,3,fc
21,2100,0.7777777777777778,1516.0,3,fc
22,2200,0.75,1708.0,3,fc
23,2300,,,3,fc
24,2400,,1708.0,3,fc
25,2500,0.6086956521739131,1708.0,3,fc
26,2600,0.8181818181818182,1708.0,3,fc
27,2700,,,3,fc
28,2800,,1708.0,3,fc
29,2900,0.7777777777777778,1708.0,3,fc
30,3000,0.8064516129032258,1708.0,3,fc
31,3100,,,3,fc
32,3200,,1708.0,3,fc
33,3300,0.625,1708.0,3,fc
34,3400,0.7,1708.0,3,fc
35,3500,,,3,fc
36,3600,,1708.0,3,fc
37,3700,0.4545454545454545,1708.0,3,fc
38,3800,0.6,1708.0,3,fc
39,3900,0.6,1708.0,3,fc
40,4000,0.75,1708.0,3,fc
41,4100,0.7,1708.0,3,fc
42,4200,,,3,fc
43,4300,,1708.0,3,fc
44,4400,0.8,1708.0,3,fc
45,4500,0.9,1612.0,3,fc
46,4600,0.7,1708.0,3,fc
47,4700,0.3333333333333333,1708.0,3,fc
48,4800,0.9090909090909092,1708.0,3,fc
49,4900,0.8,1708.0,3,fc
50,5000,0.625,1708.0,3,fc
51,5100,0.8461538461538461,1708.0,3,fc
52,5200,0.6666666666666666,1708.0,3,fc
53,5300,,,3,fc
54,5400,,1708.0,3,fc
55,5500,0.6896551724137931,1708.0,3,fc
56,5600,0.7777777777777778,1708.0,3,fc
57,5700,,,3,fc
58,5800,,1708.0,3,fc
59,5900,0.75,1708.0,3,fc
60,6000,0.8,1708.0,3,fc
61,6100,0.7142857142857143,1708.0,3,fc
62,6200,0.8333333333333334,1708.0,3,fc
63,6300,0.8181818181818182,1708.0,3,fc
64,6400,0.7272727272727273,1708.0,3,fc
65,6500,0.9166666666666666,1708.0,3,fc
66,6600,,,3,fc
67,6700,,1708.0,3,fc
68,6800,0.75,1708.0,3,fc
69,6900,0.625,1708.0,3,fc
70,7000,,,3,fc
71,7100,,1708.0,3,fc
72,7200,,,3,fc
73,7300,,1708.0,3,fc
74,7400,0.8461538461538461,1708.0,3,fc
75,7500,0.7692307692307693,1708.0,3,fc
76,7600,,,3,fc
77,7700,,1708.0,3,fc
78,7800,0.4090909090909091,1708.0,3,fc
79,7900,0.8888888888888888,1708.0,3,fc
80,8000,0.6666666666666666,1708.0,3,fc
0,0,,1708.0,3,fc
1,100,0.9285714285714286,1708.0,3,fc
2,200,0.7777777777777778,1708.0,3,fc
3,300,0.8,1708.0,3,fc
4,400,1.0,1708.0,3,fc
5,500,,,3,fc
6,600,,1708.0,3,fc
7,700,0.9,1708.0,3,fc
8,800,0.7,1708.0,3,fc
9,900,0.7777777777777778,1708.0,3,fc
10,1000,0.75,1708.0,3,fc
11,1100,0.8333333333333334,1708.0,3,fc
12,1200,0.7692307692307693,1708.0,3,fc
13,1300,0.8,1708.0,3,fc
14,1400,,,3,fc
15,1500,,1612.0,3,fc
16,1600,0.42105263157894735,1708.0,3,fc
17,1700,,,3,fc
18,1800,,1708.0,3,fc
19,1900,,,3,fc
20,2000,,1708.0,3,fc
21,2100,0.8181818181818182,1708.0,3,fc
22,2200,0.7241379310344828,1708.0,3,fc
23,2300,0.84,1708.0,3,fc
24,2400,0.8,1708.0,3,fc
25,2500,,,3,fc
26,2600,,1708.0,3,fc
27,2700,0.5,1708.0,3,fc
28,2800,,,3,fc
29,2900,,1708.0,3,fc
30,3000,0.7857142857142857,1708.0,3,fc
31,3100,0.8333333333333334,1708.0,3,fc
32,3200,0.5454545454545454,1708.0,3,fc
33,3300,,,3,fc
34,3400,,1708.0,3,fc
35,3500,0.8181818181818182,1708.0,3,fc
36,3600,0.8,1708.0,3,fc
37,3700,,,3,fc
38,3800,,1708.0,3,fc
39,3900,0.8571428571428571,1708.0,3,fc
40,4000,0.75,1708.0,3,fc
41,4100,,,3,fc
42,4200,,1708.0,3,fc
43,4300,0.6923076923076923,1708.0,3,fc
44,4400,0.7,1708.0,3,fc
45,4500,0.7692307692307693,1708.0,3,fc
46,4600,,,3,fc
47,4700,,1708.0,3,fc
48,4800,0.8461538461538461,1708.0,3,fc
49,4900,0.8333333333333334,1708.0,3,fc
50,5000,0.7692307692307693,1708.0,3,fc
51,5100,,,3,fc
52,5200,,1708.0,3,fc
53,5300,0.6666666666666666,1708.0,3,fc
54,5400,0.8333333333333334,1708.0,3,fc
55,5500,0.75,1708.0,3,fc
56,5600,0.6666666666666666,1708.0,3,fc
57,5700,,,3,fc
58,5800,,1708.0,3,fc
59,5900,0.5384615384615384,1708.0,3,fc
60,6000,0.7,1708.0,3,fc
61,6100,0.7777777777777778,1708.0,3,fc
62,6200,0.7777777777777778,1708.0,3,fc
63,6300,0.8461538461538461,1708.0,3,fc
64,6400,0.8333333333333334,1708.0,3,fc
65,6500,0.7777777777777778,1708.0,3,fc
66,6600,0.8888888888888888,1708.0,3,fc
67,6700,,,3,fc
68,6800,,1708.0,3,fc
69,6900,,,3,fc
70,7000,,1708.0,3,fc
71,7100,0.8,1708.0,3,fc
72,7200,0.875,1708.0,3,fc
73,7300,0.6923076923076923,1708.0,3,fc
74,7400,0.6666666666666666,1708.0,3,fc
75,7500,0.6153846153846154,1708.0,3,fc
76,7600,,,3,fc
77,7700,,1708.0,3,fc
78,7800,0.8333333333333334,1708.0,3,fc
79,7900,,,3,fc
80,8000,,1708.0,3,fc
0,0,,1708.0,3,fc
1,100,0.9333333333333332,1708.0,3,fc
2,200,,,3,fc
3,300,,1708.0,3,fc
4,400,0.8888888888888888,1708.0,3,fc
5,500,0.8333333333333334,1708.0,3,fc
6,600,0.7272727272727273,1708.0,3,fc
7,700,0.9,1708.0,3,fc
8,800,0.8571428571428571,1708.0,3,fc
9,900,,,3,fc
10,1000,,,3,fc
11,1100,,1708.0,3,fc
12,1200,0.5714285714285714,1708.0,3,fc
13,1300,0.5833333333333334,1708.0,3,fc
14,1400,0.9090909090909092,1708.0,3,fc
15,1500,0.8,1708.0,3,fc
16,1600,0.75,1708.0,3,fc
17,1700,,,3,fc
18,1800,,1708.0,3,fc
19,1900,,,3,fc
20,2000,,1708.0,3,fc
21,2100,,,3,fc
22,2200,,1708.0,3,fc
23,2300,0.8333333333333334,1708.0,3,fc
24,2400,0.8,1708.0,3,fc
25,2500,0.8181818181818182,1708.0,3,fc
26,2600,0.8888888888888888,1708.0,3,fc
27,2700,0.7,1708.0,3,fc
28,2800,0.9166666666666666,1708.0,3,fc
29,2900,,,3,fc
30,3000,,1708.0,3,fc
31,3100,,,3,fc
32,3200,,1708.0,3,fc
33,3300,0.625,1708.0,3,fc
34,3400,0.9,1708.0,3,fc
35,3500,0.8181818181818182,1708.0,3,fc
36,3600,,,3,fc
37,3700,,1708.0,3,fc
38,3800,0.7857142857142857,1708.0,3,fc
39,3900,,,3,fc
40,4000,,1708.0,3,fc
41,4100,0.9166666666666666,1708.0,3,fc
42,4200,,,3,fc
43,4300,,1708.0,3,fc
44,4400,0.6153846153846154,1708.0,3,fc
45,4500,0.5833333333333334,1708.0,3,fc
46,4600,0.875,1708.0,3,fc
47,4700,0.75,1708.0,3,fc
48,4800,0.9090909090909092,1708.0,3,fc
49,4900,0.7272727272727273,1708.0,3,fc
50,5000,0.8888888888888888,1708.0,3,fc
51,5100,0.7692307692307693,1708.0,3,fc
52,5200,0.8333333333333334,1708.0,3,fc
53,5300,0.875,1708.0,3,fc
54,5400,0.7,1708.0,3,fc
55,5500,0.6666666666666666,1708.0,3,fc
56,5600,0.9,1708.0,3,fc
57,5700,,,3,fc
58,5800,,1708.0,3,fc
59,5900,0.5833333333333334,1708.0,3,fc
60,6000,0.8,1708.0,3,fc
61,6100,0.9090909090909092,1708.0,3,fc
62,6200,,,3,fc
63,6300,,1708.0,3,fc
64,6400,0.3888888888888889,1708.0,3,fc
65,6500,0.6923076923076923,1708.0,3,fc
66,6600,,,3,fc
67,6700,,1708.0,3,fc
68,6800,0.7272727272727273,1708.0,3,fc
69,6900,0.8,1708.0,3,fc
70,7000,0.8,1708.0,3,fc
71,7100,0.7272727272727273,1708.0,3,fc
72,7200,,,3,fc
73,7300,,1516.0,3,fc
74,7400,0.5,1708.0,3,fc
75,7500,0.7272727272727273,1708.0,3,fc
76,7600,0.7,1708.0,3,fc
77,7700,,,3,fc
78,7800,,1708.0,3,fc
79,7900,0.5555555555555556,1708.0,3,fc
80,8000,0.75,1708.0,3,fc
0,0,,1708.0,3,fc
1,100,,,3,fc
2,200,,1708.0,3,fc
3,300,0.5,1708.0,3,fc
4,400,0.7272727272727273,1708.0,3,fc
5,500,0.9166666666666666,1708.0,3,fc
6,600,0.9,1708.0,3,fc
7,700,0.8888888888888888,1708.0,3,fc
8,800,0.9,1708.0,3,fc
9,900,0.9090909090909092,1708.0,3,fc
10,1000,,,3,fc
11,1100,,1708.0,3,fc
12,1200,0.5909090909090909,1708.0,3,fc
13,1300,,,3,fc
14,1400,,1708.0,3,fc
15,1500,0.9090909090909092,1708.0,3,fc
16,1600,0.75,1708.0,3,fc
17,1700,0.7857142857142857,1708.0,3,fc
18,1800,,,3,fc
19,1900,,1708.0,3,fc
20,2000,0.8333333333333334,1708.0,3,fc
21,2100,0.6923076923076923,1708.0,3,fc
22,2200,,,3,fc
23,2300,,1708.0,3,fc
24,2400,0.55,1708.0,3,fc
25,2500,0.75,1708.0,3,fc
26,2600,0.7272727272727273,1708.0,3,fc
27,2700,,,3,fc
28,2800,,1708.0,3,fc
29,2900,0.75,1708.0,3,fc
30,3000,0.8333333333333334,1708.0,3,fc
31,3100,0.75,1708.0,3,fc
32,3200,,,3,fc
33,3300,,1708.0,3,fc
34,3400,0.4,1708.0,3,fc
35,3500,,,3,fc
36,3600,,1708.0,3,fc
37,3700,0.6451612903225806,1708.0,3,fc
38,3800,,,3,fc
39,3900,,1708.0,3,fc
40,4000,0.7,1708.0,3,fc
41,4100,0.7272727272727273,1708.0,3,fc
42,4200,0.75,1708.0,3,fc
43,4300,,,3,fc
44,4400,,1708.0,3,fc
45,4500,0.6875,1708.0,3,fc
46,4600,0.7272727272727273,1708.0,3,fc
47,4700,0.6363636363636364,1708.0,3,fc
48,4800,,,3,fc
49,4900,,1708.0,3,fc
50,5000,0.6428571428571429,1612.0,3,fc
51,5100,0.7307692307692307,1708.0,3,fc
52,5200,,,3,fc
53,5300,,1708.0,3,fc
54,5400,0.8181818181818182,1708.0,3,fc
55,5500,0.9090909090909092,1708.0,3,fc
56,5600,0.5,1708.0,3,fc
57,5700,0.6666666666666666,1708.0,3,fc
58,5800,0.9,1708.0,3,fc
59,5900,0.8,1708.0,3,fc
60,6000,0.8461538461538461,1708.0,3,fc
61,6100,0.5833333333333334,1708.0,3,fc
62,6200,0.8,1708.0,3,fc
63,6300,,,3,fc
64,6400,,1708.0,3,fc
65,6500,0.3809523809523809,1708.0,3,fc
66,6600,0.7,1708.0,3,fc
67,6700,0.7,1708.0,3,fc
68,6800,0.8,1708.0,3,fc
69,6900,,,3,fc
70,7000,,1708.0,3,fc
71,7100,0.9,1708.0,3,fc
72,7200,0.7272727272727273,1708.0,3,fc
73,7300,0.75,1708.0,3,fc
74,7400,0.6666666666666666,1708.0,3,fc
75,7500,,,3,fc
76,7600,,1708.0,3,fc
77,7700,0.7692307692307693,1708.0,3,fc
78,7800,0.6666666666666666,1708.0,3,fc
79,7900,,,3,fc
80,8000,,1516.0,3,fc
0,0,,1708.0,3,fc
1,100,0.9166666666666666,1708.0,3,fc
2,200,0.9090909090909092,1708.0,3,fc
3,300,,,3,fc
4,400,,1708.0,3,fc
5,500,,,3,fc
6,600,,1708.0,3,fc
7,700,0.6363636363636364,1708.0,3,fc
8,800,0.8888888888888888,1708.0,3,fc
9,900,,,3,fc
10,1000,,1708.0,3,fc
11,1100,0.8333333333333334,1708.0,3,fc
12,1200,0.6363636363636364,1708.0,3,fc
13,1300,0.8181818181818182,1708.0,3,fc
14,1400,0.9090909090909092,1708.0,3,fc
15,1500,0.8888888888888888,1708.0,3,fc
16,1600,0.8181818181818182,1708.0,3,fc
17,1700,,,3,fc
18,1800,,1708.0,3,fc
19,1900,,,3,fc
20,2000,,1708.0,3,fc
21,2100,0.75,1708.0,3,fc
22,2200,0.8333333333333334,1708.0,3,fc
23,2300,,,3,fc
24,2400,,1708.0,3,fc
25,2500,0.7647058823529411,1708.0,3,fc
26,2600,0.5,1708.0,3,fc
27,2700,0.5833333333333334,1708.0,3,fc
28,2800,0.7777777777777778,1708.0,3,fc
29,2900,,,3,fc
30,3000,,1708.0,3,fc
31,3100,0.5625,1708.0,3,fc
32,3200,0.75,1708.0,3,fc
33,3300,0.7272727272727273,1708.0,3,fc
34,3400,0.8888888888888888,1708.0,3,fc
35,3500,0.7857142857142857,1708.0,3,fc
36,3600,0.6666666666666666,1708.0,3,fc
37,3700,0.8,1708.0,3,fc
38,3800,0.6666666666666666,1708.0,3,fc
39,3900,0.7777777777777778,1708.0,3,fc
40,4000,,,3,fc
41,4100,,1708.0,3,fc
42,4200,0.9166666666666666,1708.0,3,fc
43,4300,0.75,1708.0,3,fc
44,4400,0.7857142857142857,1708.0,3,fc
45,4500,0.9090909090909092,1708.0,3,fc
46,4600,0.9090909090909092,1708.0,3,fc
47,4700,0.9,1708.0,3,fc
48,4800,0.9,1708.0,3,fc
49,4900,0.8333333333333334,1708.0,3,fc
50,5000,,,3,fc
51,5100,,1708.0,3,fc
52,5200,0.5,1708.0,3,fc
53,5300,0.7692307692307693,1708.0,3,fc
54,5400,0.8,1708.0,3,fc
55,5500,0.7272727272727273,1708.0,3,fc
56,5600,0.7777777777777778,1708.0,3,fc
57,5700,0.7692307692307693,1708.0,3,fc
58,5800,0.6666666666666666,1708.0,3,fc
59,5900,0.7777777777777778,1708.0,3,fc
60,6000,,,3,fc
61,6100,,1708.0,3,fc
62,6200,0.6470588235294118,1708.0,3,fc
63,6300,0.6,1708.0,3,fc
64,6400,0.75,1708.0,3,fc
65,6500,0.9090909090909092,1708.0,3,fc
66,6600,,,3,fc
67,6700,,1708.0,3,fc
68,6800,0.7878787878787878,1708.0,3,fc
69,6900,,,3,fc
70,7000,,1708.0,3,fc
71,7100,,,3,fc
72,7200,,1708.0,3,fc
73,7300,0.4545454545454545,1708.0,3,fc
74,7400,0.7,1708.0,3,fc
75,7500,0.7,1708.0,3,fc
76,7600,0.8461538461538461,1708.0,3,fc
77,7700,0.8888888888888888,1708.0,3,fc
78,7800,0.6666666666666666,1708.0,3,fc
79,7900,0.8571428571428571,1708.0,3,fc
80,8000,0.6923076923076923,1708.0,3,fc
81,8100,0.7,1708.0,3,fc
